Node Number,Thread Number,Spatial Distribution,Temporal Distribution,T/R,Network Response Time,Channel Utilization,Processor Utilization 
0,8,4,0,0.7,1549.619758,0.921424,0.638247
0,8,4,0,0.8,1762.429191,0.911111,0.546533
0,8,4,0,0.9,2124.122474,0.906563,0.497897
0,8,4,0,1,1800.665678,0.905556,0.457959
0,10,4,0,0.1,178.716605,0.547396,0.933178
0,10,4,0,0.2,266.863225,0.626042,0.901664
0,10,4,0,0.3,400.380958,0.71125,0.878836
0,10,4,0,0.4,464.618315,0.830139,0.886027
0,10,4,0,0.5,859.177814,0.899479,0.846923
0,10,4,0,0.6,1386.292707,0.926458,0.755375
0,10,4,0,0.7,1808.262657,0.909271,0.643968
0,10,4,0,0.8,1289.923936,0.930278,0.586142
0,10,4,0,0.9,2473.733856,0.936562,0.538516
0,10,4,0,1,2828.767953,0.940972,0.491613
0,4,2,0,0.1,208.202647,0.476319,0.572178
0,4,2,0,0.2,224.008272,0.619861,0.558476
0,4,2,0,0.3,339.373784,0.651146,0.604414
0,4,2,0,0.4,454.336136,0.819167,0.639143
0,4,2,0,0.5,553.155326,0.789063,0.547472
0,4,2,0,0.6,808.222372,0.709583,0.448119
0,4,2,0,0.7,1113.299692,0.705833,0.38111
0,4,2,0,0.8,1345.570771,0.749167,0.37793
0,4,2,0,0.9,1570.581512,0.677188,0.311804
0,4,2,0,1,1773.611828,0.723958,0.305073
0,6,2,0,0.1,157.891728,0.555486,0.679129
0,6,2,0,0.2,516.439638,0.727222,0.707956
0,6,2,0,0.3,488.64161,0.710833,0.683511
0,6,2,0,0.4,531.356966,0.744583,0.690876
0,6,2,0,0.5,871.053275,0.826389,0.64273
0,6,2,0,0.6,1352.484214,0.779375,0.5458
0,6,2,0,0.7,1555.443767,0.72941,0.432759
0,6,2,0,0.8,1620.412515,0.757778,0.420722
0,6,2,0,0.9,1464.219174,0.799062,0.422564
0,6,2,0,1,2495.585069,0.863194,0.347239
0,8,2,0,0.1,290.712404,0.549826,0.803096
0,8,2,0,0.2,543.234636,0.675208,0.769347
0,8,2,0,0.3,625.048774,0.730521,0.761153
0,8,2,0,0.4,751.235356,0.775556,0.683967
0,8,2,0,0.5,1025.620714,0.842535,0.709455
0,8,2,0,0.6,1559.892031,0.868958,0.604509
0,8,2,0,0.7,2156.154352,0.875,0.505288
0,8,2,0,0.8,2071.026508,0.774444,0.463521
0,8,2,0,0.9,2532.130972,0.78375,0.408886
0,8,2,0,1,1987.508899,0.798264,0.364302
0,10,2,0,0.1,388.940989,0.498819,0.731229
0,10,2,0,0.2,492.393833,0.641042,0.781164
0,10,2,0,0.3,566.652085,0.604583,0.675502
0,10,2,0,0.4,599.358071,0.772083,0.733372
0,10,2,0,0.5,1211.646463,0.819271,0.634559
0,10,2,0,0.6,1896.395789,0.823125,0.615881
0,10,2,0,0.7,2418.757984,0.829792,0.550544
0,10,2,0,0.8,2690.80746,0.756389,0.430889
0,10,2,0,0.9,2859.921799,0.904687,0.470719
0,10,2,0,1,3444.731968,0.828472,0.409884
0,4,1,0,0.1,19.110126,0.136979,0.442501
0,4,1,0,0.2,34.452089,0.229861,0.443607
0,4,1,0,0.3,109.222768,0.323437,0.460454
0,4,1,0,0.4,133.728978,0.406389,0.458123
0,4,1,0,0.5,156.050398,0.510938,0.490711
0,4,1,0,0.6,301.014182,0.597708,0.500619
0,4,1,0,0.7,305.420849,0.614201,0.453512
0,4,1,0,0.8,454.557929,0.623889,0.406964
0,4,1,0,0.9,574.452631,0.631563,0.368315
0,4,1,0,1,719.461548,0.634028,0.332298
0,6,1,0,0.1,19.484081,0.149965,0.487785
0,6,1,0,0.2,56.253503,0.239375,0.460979
0,6,1,0,0.3,83.709148,0.356563,0.506713
0,6,1,0,0.4,195.577372,0.434167,0.492925
0,6,1,0,0.5,200.586964,0.501215,0.474015
0,6,1,0,0.6,470.830639,0.622708,0.532269
0,6,1,0,0.7,1069.873863,0.628785,0.468575
0,6,1,0,0.8,1263.494341,0.637778,0.422222
0,6,1,0,0.9,1468.299448,0.646562,0.3822
0,6,1,0,1,1679.285594,0.647222,0.348186
0,8,1,0,0.1,18.983249,0.153542,0.508909
0,8,1,0,0.2,70.357942,0.254306,0.503872
0,8,1,0,0.3,113.300356,0.370625,0.531937
0,8,1,0,0.4,262.79635,0.4425,0.507399
0,8,1,0,0.5,390.451218,0.546181,0.528152
0,8,1,0,0.6,600.515833,0.621875,0.535232
0,8,1,0,0.7,881.48296,0.637049,0.480331
0,8,1,0,0.8,884.867818,0.649722,0.435503
0,8,1,0,0.9,1295.182846,0.649375,0.389167
0,8,1,0,1,1537.658973,0.657639,0.359547
0,10,1,0,0.1,21.925482,0.161979,0.537593
0,10,1,0,0.2,64.7016,0.287083,0.575784
0,10,1,0,0.3,104.128664,0.354271,0.505995
0,10,1,0,0.4,314.63874,0.476667,0.552845
0,10,1,0,0.5,571.212667,0.546354,0.531937
0,10,1,0,0.6,682.280142,0.622292,0.536095
0,10,1,0,0.7,918.415437,0.646285,0.492379
0,10,1,0,0.8,1446.767732,0.650833,0.441288
0,10,1,0,0.9,1615.034325,0.658125,0.403188
0,10,1,0,1,1918.226261,0.669444,0.369813
0,4,3,0,0.1,125.582387,0.608993,0.787135
0,4,3,0,0.2,186.819899,0.680347,0.781164
0,4,3,0,0.3,283.319397,0.784479,0.765629
0,4,3,0,0.4,350.483928,0.852083,0.721782
0,4,3,0,0.5,512.272546,0.79375,0.609036
0,4,3,0,0.6,584.690104,0.86,0.600147
0,4,3,0,0.7,771.946701,0.872326,0.545556
0,4,3,0,0.8,636.779001,0.856944,0.487692
0,4,3,0,0.9,1058.35527,0.941562,0.450406
0,4,3,0,1,981.808492,0.869792,0.388274
0,6,3,0,0.1,157.505141,0.713958,0.904261
0,6,3,0,0.2,245.594209,0.740208,0.903137
0,6,3,0,0.3,323.700479,0.798229,0.888765
0,6,3,0,0.4,419.35944,0.85125,0.854246
0,6,3,0,0.5,641.749697,0.907639,0.791902
0,6,3,0,0.6,841.086602,0.937083,0.708413
0,6,3,0,0.7,926.740294,0.914618,0.612917
0,6,3,0,0.8,846.435531,0.953333,0.57831
0,6,3,0,0.9,1491.317415,0.933125,0.508989
0,6,3,0,1,1718.163415,0.939583,0.467505
0,8,3,0,0.1,194.963345,0.566181,0.965042
0,8,3,0,0.2,267.928247,0.704028,0.97462
0,8,3,0,0.3,387.492337,0.808437,0.965674
0,8,3,0,0.4,341.501226,0.865694,0.923701
0,8,3,0,0.5,855.57456,0.918403,0.845989
0,8,3,0,0.6,1049.175562,0.941667,0.764771
0,8,3,0,0.7,1416.449231,0.938194,0.672547
0,8,3,0,0.8,940.794155,0.966667,0.605648
0,8,3,0,0.9,1923.328176,0.964062,0.547097
0,8,3,0,1,2126.55381,0.963194,0.499688
0,10,3,0,0.1,212.784185,0.556563,0.977722
0,10,3,0,0.2,337.634981,0.672708,0.986516
0,10,3,0,0.3,451.19667,0.785104,0.980612
0,10,3,0,0.4,351.184393,0.881111,0.965674
0,10,3,0,0.5,307.792664,0.941146,0.906607
0,10,3,0,0.6,1214.057768,0.961042,0.79234
0,10,3,0,0.7,1653.736882,0.981944,0.707199
0,10,3,0,0.8,1421.304936,0.9625,0.61823
0,10,3,0,0.9,2371.043062,0.979375,0.564482
0,10,3,0,1,2592.966463,0.980903,0.515257
